"文件夹","名称","平面坐标X","平面坐标Y","经度","纬度","海拔","文本显示风格","图标样式","显示级别","叠放层次","图标颜色及不透明度","图标比例","对象ID","附件ID与名称","所属区域","Comment","创建时间","修改时间"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN100","1.918","0.543","109.88407053","31.10196874","0","1","0","1-0","0","0X00000000","0.0","936882519","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN100","1.918","0.543","109.88395682","31.10202340","0","1","0","1-0","0","0X00000000","0.0","431488780","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN100","1.918","0.543","109.88384170","31.10209138","0","1","0","1-0","0","0X00000000","0.0","1665391327","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3888","1.918","0.543","109.88381363","31.10210360","0","1","0","1-0","0","0X00000000","0.0","1450547107","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3890","1.918","0.543","109.88404872","31.10197361","0","1","0","1-0","0","0X00000000","0.0","1048455782","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3889","1.918","0.543","109.88393458","31.10203313","0","1","0","1-0","0","0X00000000","0.0","888507401","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN200","1.918","0.543","109.88327174","31.10201373","0","1","0","1-0","0","0X00000000","0.0","535497415","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 钢 DN200","1.918","0.543","109.88342404","31.10190747","0","1","0","1-0","0","0X00000000","0.0","1054759225","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 钢 DN200","1.918","0.543","109.88329191","31.10201051","0","1","0","1-0","0","0X00000000","0.0","1808696411","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3933","1.918","0.543","109.88339340","31.10187455","0","1","0","1-0","0","0X00000000","0.0","902381066","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3806","1.918","0.543","109.88336329","31.10194418","0","1","0","1-0","0","0X00000000","0.0","2076468935","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 钢 DN200","1.918","0.543","109.88132111","31.10166880","0","1","0","1-0","0","0X00000000","0.0","2156325550","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 钢 DN200","1.918","0.543","109.88146698","31.10160936","0","1","0","1-0","0","0X00000000","0.0","598540345","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3792","1.918","0.543","109.88129395","31.10169846","0","1","0","1-0","0","0X00000000","0.0","1848199402","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
